City/Town,Report Date,Total Case Count,Two Week Case Counts,Average Daily Rate,% Change in Last Week,Total Tests,Total Tests Last Two Weeks,Total Positive Tests,Percent Positivity,Change Since Last Week
Ashby,12/3/2020,58,14,28.7,Lower,1877,221,15,6.79%,Lower
Ashfield,12/3/2020,9,0,0,Lower,1082,96,0,0%,Lower
Ashland,12/3/2020,567,94,34.1,Higher,16720,2212,99,4.48%,Higher
Athol,12/3/2020,161,24,14.3,Higher,9390,890,26,2.92%,Higher
Attleboro,12/3/2020,1560,257,39.5,Lower,31885,3965,281,7.09%,No Change
Auburn,12/3/2020,487,90,39.0,Higher,15060,1980,93,4.70%,Higher
Avon,12/3/2020,137,13,21.2,Lower,3456,372,18,4.84%,Lower
Ayer,12/3/2020,202,23,20.3,Higher,9590,997,25,2.51%,Higher
Barnstable,12/3/2020,1092,359,57.3,Higher,28946,4387,385,8.78%,Higher
Barre,12/3/2020,94,10,12.8,Higher,3655,394,13,3.30%,Higher
Becket,12/3/2020,21,<5,8.0,Higher,1051,147,3,2.04%,Higher
Bedford,12/3/2020,366,34,16.2,Higher,17364,1685,38,2.26%,Higher
Belchertown,12/3/2020,242,39,17.4,Higher,14933,1841,46,2.50%,Higher
Bellingham,12/3/2020,347,83,32.9,Higher,10861,1412,92,6.52%,Higher
Belmont,12/3/2020,403,56,14.6,Higher,28624,3703,63,1.70%,Higher
Berkley,12/3/2020,177,26,27.3,Lower,4852,551,29,5.26%,Higher
Berlin,12/3/2020,56,16,35.4,Higher,2699,370,16,4.32%,Higher
Bernardston,12/3/2020,20,<5,10.3,Lower,1778,202,4,1.98%,Lower
Beverly,12/3/2020,1160,151,26.3,Lower,68726,8336,165,1.98%,Higher
Billerica,12/3/2020,1190,221,36.1,Lower,33360,4792,252,5.26%,Higher
Blackstone,12/3/2020,181,43,34.0,Lower,5773,677,48,7.09%,Higher
Blandford,12/3/2020,18,<5,17.7,Higher,636,86,3,3.49%,Higher
Bolton,12/3/2020,52,14,19.8,Higher,4678,629,14,2.23%,Lower
Boston,12/3/2020,27780,3075,31.7,Lower,1531908,192597,3605,1.87%,No Change
Bourne,12/3/2020,332,49,16.6,Higher,16279,1986,56,2.82%,Higher
Boxborough,12/3/2020,59,16,22.5,No Change,3812,499,16,3.21%,No Change
Boxford,12/3/2020,139,41,38.3,Higher,6703,994,48,4.83%,Higher
Boylston,12/3/2020,69,18,28.6,Higher,4000,533,19,3.56%,Higher
Braintree,12/3/2020,1331,158,28.5,Higher,37517,5574,178,3.19%,Higher
Brewster,12/3/2020,143,10,7.2,Higher,6545,932,11,1.18%,Lower
Bridgewater,12/3/2020,654,93,23.2,Higher,30729,3772,100,2.65%,Higher
Brimfield,12/3/2020,42,7,13.4,Lower,2330,304,7,2.30%,Lower
Brockton,12/3/2020,6499,545,39.2,Lower,91244,9177,640,6.97%,Higher
Brookfield,12/3/2020,53,11,21.3,Lower,2340,244,13,5.33%,Lower
Brookline,12/3/2020,777,88,9.7,Lower,89454,12641,99,0.78%,No Change
Buckland,12/3/2020,18,<5,11.7,Higher,184,22,3,13.64%,Higher
Burlington,12/3/2020,544,85,21.8,Higher,20744,2798,103,3.68%,No Change
Cambridge,12/3/2020,1966,296,18.9,Lower,358330,47036,360,0.77%,No Change
Canton,12/3/2020,524,35,10.8,Lower,23778,2809,41,1.46%,Higher
Carlisle,12/3/2020,45,10,15.1,No Change,3702,450,10,2.22%,Lower
Carver,12/3/2020,163,28,16.3,Higher,6640,684,31,4.53%,Higher
Charlemont,12/3/2020,<5,0,0,No Change,889,86,0,0%,No Change
Charlton,12/3/2020,289,95,47.9,Higher,12065,1825,102,5.59%,Higher
Chatham,12/3/2020,55,<5,4.9,Lower,3673,379,5,1.32%,Lower
Chelmsford,12/3/2020,938,193,38.3,Higher,30266,3704,208,5.62%,Higher
Chelsea,12/3/2020,4774,321,62.1,Lower,57286,5835,412,7.06%,Lower
Cheshire,12/3/2020,19,8,19.5,Lower,2078,289,8,2.77%,Lower
Chester,12/3/2020,10,<5,21.0,Higher,638,71,4,5.63%,Higher
Chesterfield,12/3/2020,10,0,0,No Change,676,61,0,0%,No Change
Chicopee,12/3/2020,1609,390,49.1,Higher,44723,6123,470,7.68%,Higher
Chilmark,12/3/2020,5,0,0,Lower,2246,283,1,0.35%,Lower
Clarksburg,12/3/2020,14,0,0,Lower,819,124,0,0%,Lower
Clinton,12/3/2020,534,73,37.0,Lower,11177,1228,91,7.41%,Higher
Cohasset,12/3/2020,84,20,19.4,Higher,5939,942,22,2.34%,Higher
Colrain,12/3/2020,5,0,0,No Change,1070,97,0,0%,No Change
Concord,12/3/2020,383,71,27.1,Lower,22381,2822,75,2.66%,Lower
Conway,12/3/2020,<5,0,0,No Change,1369,141,0,0%,No Change
Cummington,12/3/2020,9,<5,27.3,No Change,799,82,3,3.66%,Higher
Dalton,12/3/2020,67,20,22.1,Lower,4600,787,23,2.92%,Higher
Danvers,12/3/2020,1177,177,44.1,Higher,28908,4067,200,4.92%,Higher
Dartmouth,12/3/2020,1142,248,47.7,Lower,32916,4613,290,6.29%,Lower
