City/Town,Report Date,Total Case Count,Two Week Case Counts,Average Daily Rate,% Change in Last Week,Total Tests,Total Tests Last Two Weeks,Total Positive Tests,Percent Positivity,Change Since Last Week
Northampton,08/19/2020,316,9,2.2,Lower,9241,1619,18,1.11%,Lower
Northborough,08/19/2020,229,<5,0.5,Lower,3895,648,2,0.31%,Lower
Northbridge,08/19/2020,329,9,3.6,Lower,4296,666,9,1.35%,Lower
Northfield,08/19/2020,<5,<5,2.4,No Change,554,126,1,0.79%,Lower
Norton,08/19/2020,154,9,3.2,Higher,3869,663,12,1.81%,Higher
Norwell,08/19/2020,129,<5,1.3,Lower,2329,387,2,0.52%,Lower
Norwood,08/19/2020,608,13,3.1,Higher,8485,1174,14,1.19%,Lower
Oak Bluffs,08/19/2020,9,<5,2.8,Higher,1611,297,2,0.67%,Higher
Oakham,08/19/2020,10,0,0,Lower,386,69,0,0%,Lower
Orange,08/19/2020,44,0,0,No Change,1970,324,0,0%,Lower
Orleans,08/19/2020,18,0,0,No Change,1094,146,0,0%,No Change
Otis,08/19/2020,<5,0,0,No Change,234,40,0,0%,No Change
Oxford,08/19/2020,88,<5,1.6,Higher,2778,482,5,1.04%,Higher
Palmer,08/19/2020,64,6,3.6,No Change,2321,353,8,2.27%,Higher
Paxton,08/19/2020,37,<5,2.9,Higher,996,207,2,0.97%,Lower
Peabody,08/19/2020,1104,39,5.0,Lower,15887,2364,52,2.20%,Lower
Pelham,08/19/2020,<5,0,0,No Change,231,51,0,0%,No Change
Pembroke,08/19/2020,105,<5,1.5,No Change,3425,523,5,0.96%,Lower
Pepperell,08/19/2020,59,<5,1.2,Lower,2011,409,3,0.73%,Lower
Peru,08/19/2020,<5,0,0,No Change,106,12,0,0%,No Change
Petersham,08/19/2020,8,0,0,No Change,254,40,0,0%,No Change
Phillipston,08/19/2020,18,<5,4.2,Higher,320,45,1,2.22%,Higher
Pittsfield,08/19/2020,212,7,1.1,Lower,11003,1780,8,0.45%,Lower
Plainfield,08/19/2020,<5,0,0,No Change,125,24,0,0%,No Change
Plainville,08/19/2020,76,<5,0.8,No Change,1829,301,6,1.99%,Higher
Plymouth,08/19/2020,618,7,0.8,Lower,14964,1940,11,0.57%,Lower
Plympton,08/19/2020,12,0,0,No Change,546,78,0,0%,No Change
Princeton,08/19/2020,8,0,0,No Change,832,193,0,0%,No Change
Provincetown,08/19/2020,28,<5,2.7,No Change,1252,68,1,1.47%,Higher
Quincy,08/19/2020,1328,52,3.7,Lower,24402,3735,72,1.93%,Lower
Randolph,08/19/2020,1008,14,2.9,Lower,11035,1676,25,1.49%,Lower
Raynham,08/19/2020,247,<5,0.5,Lower,3404,447,1,0.22%,Lower
Reading,08/19/2020,312,<5,1.0,No Change,6387,1085,4,0.37%,Lower
Rehoboth,08/19/2020,75,5,2.8,Lower,1859,289,5,1.73%,Lower
Revere,08/19/2020,2183,161,18.9,Higher,21092,3890,210,5.40%,No Change
Richmond,08/19/2020,5,0,0,No Change,274,55,0,0%,No Change
Rochester,08/19/2020,42,<5,3.8,Higher,1030,152,3,1.97%,Higher
Rockland,08/19/2020,307,<5,0.8,Lower,4046,443,4,0.90%,No Change
Rockport,08/19/2020,86,<5,2.2,Higher,1475,208,2,0.96%,Higher
Rowe,08/19/2020,0,0,0,No Change,73,15,0,0%,No Change
Rowley,08/19/2020,68,<5,2.3,No Change,1627,297,2,0.67%,No Change
Royalston,08/19/2020,<5,<5,5.6,Higher,254,58,1,1.72%,Higher
Russell,08/19/2020,21,<5,7.6,Lower,296,44,4,9.09%,Lower
Rutland,08/19/2020,58,<5,3.2,Higher,1873,377,4,1.06%,Higher
Salem,08/19/2020,747,66,10.5,Higher,12513,1913,74,3.87%,Higher
Salisbury,08/19/2020,60,0,0,Lower,1842,255,1,0.39%,Lower
Sandisfield,08/19/2020,7,<5,7.6,No Change,354,28,1,3.57%,Higher
Sandwich,08/19/2020,104,<5,0.3,Lower,3851,611,1,0.16%,Lower
Saugus,08/19/2020,630,36,9.0,No Change,8202,1140,41,3.60%,Lower
Savoy,08/19/2020,<5,0,0,No Change,102,16,0,0%,No Change
Scituate,08/19/2020,200,<5,0.4,Lower,3805,534,2,0.37%,Lower
Seekonk,08/19/2020,104,7,3.6,Lower,2294,359,7,1.95%,Lower
Sharon,08/19/2020,175,<5,1.2,Lower,4238,722,5,0.69%,Lower
Sheffield,08/19/2020,16,0,0,No Change,607,95,0,0%,No Change
Shelburne,08/19/2020,8,0,0,No Change,738,106,0,0%,No Change
Sherborn,08/19/2020,19,<5,1.9,No Change,974,188,1,0.53%,No Change
Shirley,08/19/2020,179,<5,0.8,No Change,3495,228,1,0.44%,No Change
Shrewsbury,08/19/2020,366,8,1.5,Lower,9043,1663,12,0.72%,Lower
Shutesbury,08/19/2020,<5,0,0,No Change,367,92,0,0%,No Change
Somerset,08/19/2020,220,<5,1.2,Higher,4927,565,5,0.88%,No Change
Somerville,08/19/2020,1073,40,3.7,No Change,30218,5018,47,0.94%,Lower
South Hadley,08/19/2020,203,28,11.1,Higher,3599,861,32,3.72%,Higher
Southampton,08/19/2020,33,0,0,No Change,1119,211,0,0%,No Change
Southborough,08/19/2020,43,0,0,No Change,2258,434,0,0%,No Change
Southbridge,08/19/2020,197,6,2.5,Lower,4141,832,12,1.44%,No Change
Southwick,08/19/2020,58,<5,0.7,No Change,1865,350,1,0.29%,No Change
Spencer,08/19/2020,78,11,6.8,Higher,2622,464,13,2.80%,Higher
Springfield,08/19/2020,3175,99,4.5,Higher,38043,5575,128,2.30%,No Change
Sterling,08/19/2020,128,<5,1.8,No Change,2380,473,3,0.63%,No Change
Stockbridge,08/19/2020,15,0,0,No Change,496,65,0,0%,No Change
Stoneham,08/19/2020,415,5,1.6,Lower,6706,994,10,1.01%,Lower
Stoughton,08/19/2020,633,18,4.6,Higher,7549,992,21,2.12%,Higher
Stow,08/19/2020,28,0,0,Lower,1613,345,0,0%,Lower
Sturbridge,08/19/2020,50,<5,1.4,Lower,1792,381,2,0.52%,Lower
Sudbury,08/19/2020,211,<5,1.6,Lower,4705,911,5,0.55%,Lower
Sunderland,08/19/2020,10,0,0,Lower,756,199,0,0%,Lower
Sutton,08/19/2020,61,5,4.0,Lower,1822,341,5,1.47%,Lower
Swampscott,08/19/2020,152,<5,2.1,No Change,4200,767,6,0.78%,Lower
Swansea,08/19/2020,152,<5,1.8,Lower,3595,476,7,1.47%,No Change
Taunton,08/19/2020,1047,30,3.7,Higher,15611,2284,34,1.49%,Higher
Templeton,08/19/2020,125,<5,0.8,Higher,2184,291,1,0.34%,Higher
Tewksbury,08/19/2020,626,17,3.9,Higher,10124,1107,20,1.81%,Higher
Tisbury,08/19/2020,12,<5,1.7,No Change,3056,466,1,0.21%,No Change
Tolland,08/19/2020,<5,0,0,No Change,34,3,0,0%,No Change
Topsfield,08/19/2020,122,5,6.1,No Change,2039,347,5,1.44%,No Change
Townsend,08/19/2020,38,<5,1.6,No Change,1838,320,3,0.94%,Higher
Truro,08/19/2020,11,0,0,Lower,457,60,0,0%,Lower
Tyngsborough,08/19/2020,105,<5,1.2,Lower,2746,415,2,0.48%,Lower
Tyringham,08/19/2020,<5,0,0,No Change,56,10,0,0%,No Change
Upton,08/19/2020,28,<5,0.8,Lower,1334,258,1,0.39%,Lower
Uxbridge,08/19/2020,84,<5,1.4,No Change,2851,510,3,0.59%,Lower
Wakefield,08/19/2020,340,7,1.9,Lower,7748,1189,8,0.67%,Lower
Wales,08/19/2020,5,0,0,No Change,289,65,0,0%,No Change
Walpole,08/19/2020,257,9,2.5,Higher,6269,975,11,1.13%,Higher
Waltham,08/19/2020,1286,20,2.1,Higher,16674,2765,23,0.83%,No Change
Ware,08/19/2020,39,<5,1.4,Higher,2012,380,3,0.79%,Higher
Wareham,08/19/2020,225,<5,0.3,Lower,4788,552,1,0.18%,Lower
Warren,08/19/2020,26,0,0,No Change,829,134,0,0%,No Change
Warwick,08/19/2020,0,0,0,No Change,139,23,0,0%,No Change
Washington,08/19/2020,<5,0,0,No Change,80,19,0,0%,No Change
Watertown,08/19/2020,412,12,2.6,Higher,8794,1533,13,0.85%,Higher
Wayland,08/19/2020,115,<5,1.1,Higher,3466,667,3,0.45%,Lower
Webster,08/19/2020,281,9,3.7,Higher,5410,733,11,1.50%,Higher
Wellesley,08/19/2020,262,5,1.2,Lower,6545,1240,5,0.40%,Lower
Wellfleet,08/19/2020,6,<5,2.6,No Change,700,159,1,0.63%,No Change
Wendell,08/19/2020,0,0,0,No Change,181,31,0,0%,No Change
Wenham,08/19/2020,21,<5,1.4,No Change,1031,342,1,0.29%,Lower
West Boylston,08/19/2020,65,<5,3.6,Higher,1924,323,5,1.55%,No Change
West Bridgewater,08/19/2020,145,0,0,Lower,2155,318,1,0.31%,No Change
West Brookfield,08/19/2020,26,<5,3.9,Higher,1305,252,2,0.79%,Higher
West Newbury,08/19/2020,14,0,0,No Change,871,168,1,0.60%,Lower
West Springfield,08/19/2020,419,5,1.2,Lower,6453,974,7,0.72%,Lower
West Stockbridge,08/19/2020,6,<5,6.0,Higher,275,56,1,1.79%,Higher
West Tisbury,08/19/2020,13,<5,5.0,Higher,1100,196,2,1.02%,No Change
Westborough,08/19/2020,360,11,4.2,Higher,4803,738,12,1.63%,Higher
Westfield,08/19/2020,502,11,1.9,Lower,8728,1417,12,0.85%,Lower
Westford,08/19/2020,163,6,1.9,Lower,5371,1029,9,0.87%,Lower
Westhampton,08/19/2020,6,0,0,No Change,221,40,0,0%,No Change
Westminster,08/19/2020,34,<5,1.0,Higher,1712,279,2,0.72%,Higher
Weston,08/19/2020,121,<5,1.9,No Change,3403,640,4,0.63%,No Change
Westport,08/19/2020,109,<5,1.3,Lower,3474,567,5,0.88%,Lower
Westwood,08/19/2020,145,5,2.4,No Change,3890,745,5,0.67%,Lower
Weymouth,08/19/2020,783,17,2.2,No Change,13462,1895,19,1.00%,No Change
Whately,08/19/2020,8,<5,4.9,Higher,155,36,1,2.78%,Higher
Whitman,08/19/2020,204,8,3.7,Higher,3202,454,8,1.76%,Higher
Wilbraham,08/19/2020,239,6,2.9,Lower,3378,581,7,1.20%,No Change
Williamsburg,08/19/2020,14,<5,2.9,Lower,864,143,1,0.70%,Lower
Williamstown,08/19/2020,84,<5,1.0,Higher,1769,244,1,0.41%,Higher
Wilmington,08/19/2020,350,7,2.1,Higher,5226,748,8,1.07%,Higher
Winchendon,08/19/2020,91,0,0,Lower,2457,334,2,0.60%,Lower
Winchester,08/19/2020,127,<5,1.3,Higher,6274,1123,4,0.36%,No Change
Windsor,08/19/2020,0,0,0,No Change,146,20,0,0%,No Change
Winthrop,08/19/2020,347,30,11.4,Higher,5949,922,35,3.80%,Higher
Woburn,08/19/2020,686,13,2.2,Lower,10591,1520,24,1.58%,Higher
Worcester,08/19/2020,5701,110,4.1,Lower,69501,11486,155,1.35%,Lower
Worthington,08/19/2020,0,0,0,No Change,234,47,0,0%,No Change
Wrentham,08/19/2020,220,<5,1.3,Lower,3816,797,5,0.63%,Lower
Yarmouth,08/19/2020,125,<5,0.6,Lower,5395,623,3,0.48%,Lower
Unknown,08/19/2020,278,47,*,*,64896,9538,48,*,*
State,08/19/2020,115048,3797,3.9,Lower,1974918,311595.00,4678,1.50%,Lower
Adams,08/12/2020,35,0,0,No Change,1259,243.00,0,0%,No Change
Alford,08/12/2020,<5,0,0,No Change,42,9.00,0,0%,No Change
Aquinnah,08/12/2020,<5,0,0,No Change,130,29.00,0,0%,No Change
Ashby,08/12/2020,15,0,0,No Change,519,88.00,0,0%,No Change
Ashfield,08/12/2020,<5,0,0,No Change,247,40.00,0,0%,No Change
Athol,08/12/2020,69,0,0,Lower,2952,439.00,0,0%,Lower
Barre,08/12/2020,62,0,0,No Change,1065,158.00,0,0%,No Change
Becket,08/12/2020,16,0,0,No Change,299,56.00,0,0%,No Change
Berlin,08/12/2020,21,0,0,No Change,700,142.00,0,0%,No Change
Bernardston,08/12/2020,7,0,0,No Change,394,88.00,0,0%,No Change
Blandford,08/12/2020,<5,0,0,No Change,138,18.00,0,0%,No Change
Boylston,08/12/2020,23,0,0,Lower,899,168.00,0,0%,Lower
Brimfield,08/12/2020,9,0,0,Lower,582,119.00,0,0%,Lower
Buckland,08/12/2020,8,0,0,No Change,57,11.00,0,0%,No Change
Chatham,08/12/2020,22,0,0,No Change,1308,230.00,0,0%,No Change
Cheshire,08/12/2020,<5,0,0,No Change,539,122.00,0,0%,No Change
Chester,08/12/2020,<5,0,0,No Change,182,29.00,0,0%,No Change
Chilmark,08/12/2020,<5,0,0,No Change,845,158.00,0,0%,No Change
Clarksburg,08/12/2020,8,0,0,No Change,219,39.00,0,0%,No Change
Colrain,08/12/2020,<5,0,0,No Change,248,48.00,0,0%,No Change
Conway,08/12/2020,<5,0,0,No Change,349,77.00,0,0%,No Change
Cummington,08/12/2020,<5,0,0,No Change,168,29.00,0,0%,No Change
Dighton,08/12/2020,68,0,0,No Change,1322,186.00,0,0%,No Change
Dover,08/12/2020,22,0,0,Lower,1022,276.00,0,0%,No Change
Dunstable,08/12/2020,10,0,0,No Change,485,83.00,0,0%,No Change
East Brookfield,08/12/2020,13,0,0,No Change,371,63.00,0,0%,No Change
Edgartown,08/12/2020,9,0,0,No Change,2166,396.00,0,0%,No Change
Egremont,08/12/2020,7,0,0,Lower,156,24.00,0,0%,Lower
Erving,08/12/2020,6,0,0,No Change,300,50.00,0,0%,No Change
Essex,08/12/2020,24,0,0,No Change,633,97.00,0,0%,No Change
Florida,08/12/2020,<5,0,0,No Change,85,11.00,0,0%,No Change
Gill,08/12/2020,<5,0,0,No Change,218,50.00,0,0%,No Change
Goshen,08/12/2020,5,0,0,No Change,83,23.00,0,0%,No Change
Gosnold,08/12/2020,5,0,0,No Change,104,0.00,0,0%,No Change
Granville,08/12/2020,12,0,0,No Change,287,45.00,0,0%,No Change
Groton,08/12/2020,44,0,0,Lower,2159,398.00,0,0%,Lower
Hadley,08/12/2020,45,0,0,Lower,2078,378.00,0,0%,No Change
Halifax,08/12/2020,59,0,0,Lower,1392,178.00,0,0%,No Change
Hampden,08/12/2020,99,0,0,No Change,1050,138.00,0,0%,No Change
Hardwick,08/12/2020,10,0,0,Lower,385,64.00,0,0%,Lower
Harvard,08/12/2020,18,0,0,No Change,1057,220.00,0,0%,No Change
Hawley,08/12/2020,0,0,0,No Change,28,5.00,0,0%,No Change
Heath,08/12/2020,0,0,0,No Change,54,7.00,0,0%,No Change
Hinsdale,08/12/2020,5,0,0,Lower,425,77.00,0,0%,Lower
Huntington,08/12/2020,14,0,0,No Change,437,85.00,0,0%,No Change
Lakeville,08/12/2020,63,0,0,No Change,1867,312.00,0,0%,No Change
Lanesborough,08/12/2020,8,0,0,No Change,467,83.00,0,0%,No Change
Leverett,08/12/2020,<5,0,0,No Change,358,65.00,0,0%,No Change
Leyden,08/12/2020,0,0,0,No Change,26,6.00,0,0%,No Change
Manchester,08/12/2020,21,0,0,No Change,887,163.00,0,0%,No Change
Mattapoisett,08/12/2020,42,0,0,Lower,1121,160.00,0,0%,Lower
Middlefield,08/12/2020,0,0,0,No Change,25,4.00,0,0%,No Change
Monroe,08/12/2020,0,0,0,No Change,11,0.00,0,0%,No Change
Montague,08/12/2020,29,0,0,No Change,1677,259.00,0,0%,No Change
Monterey,08/12/2020,<5,0,0,No Change,150,34.00,0,0%,No Change
Montgomery,08/12/2020,<5,0,0,No Change,42,11.00,0,0%,No Change
Mount Washington,08/12/2020,0,0,0,No Change,6,3.00,0,0%,No Change
New Ashford,08/12/2020,0,0,0,No Change,23,6.00,0,0%,No Change
New Braintree,08/12/2020,<5,0,0,Lower,139,24.00,0,0%,Lower
Orleans,08/12/2020,18,0,0,Lower,986,133.00,0,0%,Lower
Otis,08/12/2020,<5,0,0,No Change,218,53.00,0,0%,No Change
Pelham,08/12/2020,<5,0,0,No Change,209,42.00,0,0%,No Change
Peru,08/12/2020,<5,0,0,No Change,100,14.00,0,0%,No Change
Petersham,08/12/2020,8,0,0,No Change,229,34.00,0,0%,No Change
Phillipston,08/12/2020,16,0,0,No Change,302,47.00,0,0%,No Change
Plainfield,08/12/2020,<5,0,0,No Change,107,20.00,0,0%,No Change
Plympton,08/12/2020,11,0,0,No Change,488,58.00,0,0%,No Change
Princeton,08/12/2020,8,0,0,No Change,713,150.00,0,0%,No Change
Richmond,08/12/2020,5,0,0,No Change,242,44.00,0,0%,No Change
Rowe,08/12/2020,0,0,0,No Change,64,10.00,0,0%,No Change
Royalston,08/12/2020,<5,0,0,No Change,217,38.00,0,0%,No Change
Savoy,08/12/2020,<5,0,0,No Change,97,15.00,0,0%,No Change
Sheffield,08/12/2020,16,0,0,Lower,541,90.00,0,0%,Lower
Shelburne,08/12/2020,8,0,0,No Change,687,111.00,0,0%,No Change
Shutesbury,08/12/2020,<5,0,0,No Change,306,87.00,0,0%,No Change
Southampton,08/12/2020,33,0,0,Lower,1000,208.00,0,0%,Lower
Southborough,08/12/2020,43,0,0,Lower,1947,368.00,0,0%,Lower
Stockbridge,08/12/2020,15,0,0,No Change,456,62.00,0,0%,No Change
Templeton,08/12/2020,124,0,0,No Change,1993,292.00,0,0%,No Change
Tolland,08/12/2020,<5,0,0,No Change,31,4.00,0,0%,No Change
Tyringham,08/12/2020,<5,0,0,No Change,48,8.00,0,0%,No Change
Wales,08/12/2020,5,0,0,Lower,254,61.00,0,0%,Lower
Warren,08/12/2020,26,0,0,Lower,752,141.00,0,0%,Lower
Warwick,08/12/2020,0,0,0,No Change,123,22.00,0,0%,No Change
Washington,08/12/2020,<5,0,0,No Change,67,13.00,0,0%,No Change
Wendell,08/12/2020,0,0,0,No Change,167,33.00,0,0%,No Change
West Brookfield,08/12/2020,25,0,0,No Change,1147,200.00,0,0%,No Change
West Stockbridge,08/12/2020,5,0,0,No Change,245,50.00,0,0%,No Change
Westhampton,08/12/2020,5,0,0,No Change,202,39.00,0,0%,No Change
Westminster,08/12/2020,34,0,0,No Change,1567,267.00,0,0%,No Change
Whately,08/12/2020,7,0,0,Lower,138,35.00,0,0%,Lower
Williamstown,08/12/2020,83,0,0,No Change,1645,222.00,0,0%,No Change
Windsor,08/12/2020,0,0,0,No Change,126,19.00,0,0%,No Change
Worthington,08/12/2020,0,0,0,No Change,210,47.00,0,0%,No Change
Marshfield,08/12/2020,175,<5,<5,No Change,4747,667.00,1,0.15%,Higher
Bourne,08/12/2020,166,<5,<5,Lower,4376,609.00,1,0.16%,No Change
Sterling,08/12/2020,124,0,0,Lower,2074,474.00,1,0.21%,Higher
Tisbury,08/12/2020,12,<5,<5,No Change,2711,437.00,1,0.23%,No Change
Concord,08/12/2020,185,<5,<5,Lower,5683,814.00,2,0.25%,Lower
Southwick,08/12/2020,57,<5,<5,No Change,1697,335.00,1,0.30%,Lower
Winchester,08/12/2020,124,<5,<5,No Change,5508,993.00,3,0.30%,Higher
Hopkinton,08/12/2020,136,<5,<5,Lower,3539,657.00,2,0.30%,Lower
North Adams,08/12/2020,51,<5,<5,Lower,1971,328.00,1,0.30%,Lower
Rutland,08/12/2020,56,<5,<5,Higher,1646,320.00,1,0.31%,Higher
Orange,08/12/2020,44,0,0,Lower,1801,307.00,1,0.33%,Lower
Great Barrington,08/12/2020,74,<5,<5,No Change,2284,306.00,1,0.33%,No Change
Stow,08/12/2020,28,<5,<5,No Change,1372,292.00,1,0.34%,Lower
Foxborough,08/12/2020,134,6,2.4,Higher,5548,1546.00,6,0.39%,Higher
Newburyport,08/12/2020,119,<5,<5,Lower,4952,758.00,3,0.40%,Higher
Douglas,08/12/2020,50,<5,<5,Higher,1398,249.00,1,0.40%,Higher
Arlington,08/12/2020,327,<5,<5,Lower,9628,1715.00,7,0.41%,Lower
Lenox,08/12/2020,17,<5,<5,Lower,1532,244.00,1,0.41%,Lower
Oak Bluffs,08/12/2020,8,<5,<5,Higher,1409,244.00,1,0.41%,Higher
Reading,08/12/2020,309,<5,<5,Lower,5793,929.00,4,0.43%,Lower
Deerfield,08/12/2020,13,<5,<5,Lower,1022,224.00,1,0.45%,No Change
Bolton,08/12/2020,12,<5,<5,No Change,1012,223.00,1,0.45%,Lower
Rockport,08/12/2020,83,<5,<5,Lower,1368,222.00,1,0.45%,No Change
Lee,08/12/2020,22,0,0,Lower,1193,221.00,1,0.45%,Lower
Northborough,08/12/2020,229,<5,<5,No Change,3504,660.00,3,0.45%,No Change
Brookline,08/12/2020,428,8,0.9,Lower,12527,2374.00,11,0.46%,Lower
Medfield,08/12/2020,40,<5,<5,Higher,2193,428.00,2,0.47%,Higher
Acton,08/12/2020,176,<5,<5,No Change,4686,822.00,4,0.49%,Lower
Grafton,08/12/2020,103,<5,<5,Lower,3346,616.00,3,0.49%,Lower
Newbury,08/12/2020,15,<5,<5,No Change,1298,202.00,1,0.50%,No Change
Carlisle,08/12/2020,20,<5,<5,No Change,919,200.00,1,0.50%,Lower
Shirley,08/12/2020,178,<5,<5,No Change,3284,197.00,1,0.51%,No Change
Lexington,08/12/2020,338,<5,<5,Lower,6180,982.00,5,0.51%,Lower
Merrimac,08/12/2020,36,<5,<5,No Change,1222,194.00,1,0.52%,Lower
Gloucester,08/12/2020,276,5,1.2,Lower,5840,937.00,5,0.53%,Lower
Mendon,08/12/2020,32,0,0,No Change,1012,186.00,1,0.54%,Lower
Weston,08/12/2020,120,<5,<5,No Change,3043,547.00,3,0.55%,Lower
Groveland,08/12/2020,42,<5,<5,Higher,1228,182.00,1,0.55%,Higher
Wayland,08/12/2020,113,0,0,Lower,3065,536.00,3,0.56%,Lower
Wellfleet,08/12/2020,6,<5,<5,Higher,631,178.00,1,0.56%,Higher
Sherborn,08/12/2020,18,<5,<5,Lower,836,175.00,1,0.57%,No Change
Dennis,08/12/2020,99,<5,<5,Lower,2717,344.00,2,0.58%,Lower
Ware,08/12/2020,37,0,0,Lower,1787,343.00,2,0.58%,Lower
Gardner,08/12/2020,202,<5,<5,No Change,7234,681.00,4,0.59%,Higher
Wenham,08/12/2020,21,<5,<5,Higher,748,170.00,1,0.59%,Lower
Falmouth,08/12/2020,239,7,1.6,Lower,8650,1350.00,8,0.59%,Lower
Medway,08/12/2020,124,<5,<5,Higher,2491,488.00,3,0.61%,Higher
Cohasset,08/12/2020,29,<5,<5,No Change,1170,159.00,1,0.63%,No Change
Holden,08/12/2020,135,<5,<5,Lower,4467,765.00,5,0.65%,Higher
Sandwich,08/12/2020,104,<5,<5,Lower,3500,596.00,4,0.67%,Higher
Watertown,08/12/2020,406,6,1.3,Higher,7812,1331.00,9,0.68%,Lower
Avon,08/12/2020,81,<5,<5,Lower,1056,145.00,1,0.69%,Lower
Marion,08/12/2020,16,<5,<5,Higher,1590,433.00,3,0.69%,Higher
Oxford,08/12/2020,86,<5,<5,Lower,2497,428.00,3,0.70%,No Change
Scituate,08/12/2020,200,<5,<5,No Change,3426,416.00,3,0.72%,Lower
Hatfield,08/12/2020,19,<5,<5,Higher,650,137.00,1,0.73%,Lower
Wellesley,08/12/2020,259,7,1.7,Lower,5656,1096.00,8,0.73%,No Change
Easton,08/12/2020,300,7,2.1,Lower,5275,1083.00,8,0.74%,Lower
Littleton,08/12/2020,105,<5,<5,No Change,2135,406.00,3,0.74%,Higher
Mashpee,08/12/2020,76,<5,<5,Lower,3652,539.00,4,0.74%,Lower
Walpole,08/12/2020,250,6,1.7,Higher,5610,802.00,6,0.75%,Higher
Carver,08/12/2020,65,<5,<5,Lower,2145,266.00,2,0.75%,Lower
Rochester,08/12/2020,40,<5,<5,Higher,945,133.00,1,0.75%,Higher
Ludlow,08/12/2020,137,5,1.7,Higher,4090,660.00,5,0.76%,No Change
Waltham,08/12/2020,1272,13,1.4,Higher,14793,2370.00,18,0.76%,Lower
Natick,08/12/2020,445,8,1.6,No Change,7432,1314.00,10,0.76%,No Change
Bellingham,08/12/2020,147,<5,<5,Higher,3071,523.00,4,0.76%,Higher
Norton,08/12/2020,146,<5,<5,Lower,3300,521.00,4,0.77%,Lower
Cambridge,08/12/2020,1050,38,2.4,Higher,38511,6371.00,49,0.77%,No Change
Norfolk,08/12/2020,38,<5,<5,Lower,3151,387.00,3,0.78%,Lower
Townsend,08/12/2020,38,<5,<5,Higher,1611,256.00,2,0.78%,Higher
Hubbardston,08/12/2020,8,<5,<5,No Change,787,126.00,1,0.79%,Lower
Plymouth,08/12/2020,614,11,1.3,No Change,13778,1746.00,14,0.80%,No Change
Hopedale,08/12/2020,48,<5,<5,No Change,1525,248.00,2,0.81%,Higher
Harwich,08/12/2020,141,<5,<5,Higher,3085,494.00,4,0.81%,Higher
Rowley,08/12/2020,66,<5,<5,No Change,1428,246.00,2,0.81%,Lower
Uxbridge,08/12/2020,84,<5,<5,Higher,2552,492.00,4,0.81%,No Change
Wareham,08/12/2020,225,<5,<5,No Change,4438,492.00,4,0.81%,Lower
Dalton,08/12/2020,18,<5,<5,No Change,1226,242.00,2,0.83%,Lower
Eastham,08/12/2020,14,<5,<5,No Change,838,121.00,1,0.83%,No Change
West Bridgewater,08/12/2020,146,<5,<5,No Change,1993,363.00,3,0.83%,Higher
Yarmouth,08/12/2020,124,<5,<5,Lower,4946,598.00,5,0.84%,No Change
Sudbury,08/12/2020,208,5,2.0,Higher,4128,835.00,7,0.84%,Lower
Braintree,08/12/2020,837,6,1.1,Lower,9543,1189.00,10,0.84%,No Change
Barnstable,08/12/2020,407,12,1.9,Lower,9241,1421.00,12,0.84%,Lower
Bridgewater,08/12/2020,365,<5,<5,No Change,6922,703.00,6,0.85%,Higher
Chelmsford,08/12/2020,361,8,1.6,Lower,9042,1406.00,12,0.85%,No Change
Dracut,08/12/2020,497,10,2.2,Higher,8859,1284.00,11,0.86%,No Change
Tewksbury,08/12/2020,614,13,3.0,Higher,9327,1622.00,14,0.86%,Higher
Sunderland,08/12/2020,10,<5,<5,No Change,587,115.00,1,0.87%,Lower
Hudson,08/12/2020,201,5,1.7,Higher,4231,801.00,7,0.87%,Higher
Brewster,08/12/2020,115,<5,<5,Lower,2219,343.00,3,0.87%,Lower
Boxborough,08/12/2020,28,<5,<5,No Change,987,226.00,2,0.88%,Lower
Nantucket,08/12/2020,34,<5,<5,Lower,2825,451.00,4,0.89%,Higher
Upton,08/12/2020,28,<5,<5,No Change,1170,225.00,2,0.89%,Higher
Boxford,08/12/2020,50,<5,<5,No Change,1559,333.00,3,0.90%,Lower
North Andover,08/12/2020,374,10,2.4,Higher,8243,1332.00,12,0.90%,Higher
Winchendon,08/12/2020,91,<5,<5,Lower,2264,333.00,3,0.90%,Higher
Pittsfield,08/12/2020,211,12,1.9,Lower,10064,1663.00,15,0.90%,Lower
Salisbury,08/12/2020,60,<5,<5,No Change,1681,219.00,2,0.91%,Higher
Greenfield,08/12/2020,218,7,2.9,Higher,4444,758.00,7,0.92%,No Change
Northfield,08/12/2020,<5,<5,<5,Higher,489,108.00,1,0.93%,Higher
Somerset,08/12/2020,219,<5,<5,Lower,4530,535.00,5,0.93%,Lower
Andover,08/12/2020,337,14,2.8,Higher,8331,1489.00,14,0.94%,No Change
North Reading,08/12/2020,201,5,2.2,Higher,3248,636.00,6,0.94%,Higher
Hingham,08/12/2020,291,<5,<5,Lower,5097,844.00,8,0.95%,Lower
Melrose,08/12/2020,290,8,2.0,Lower,7993,1260.00,12,0.95%,Lower
Dedham,08/12/2020,429,7,1.8,Higher,6849,941.00,9,0.96%,Higher
Ashland,08/12/2020,264,6,2.2,Lower,4085,731.00,7,0.96%,Lower
Rockland,08/12/2020,305,<5,<5,Lower,3744,414.00,4,0.97%,Lower
Wilmington,08/12/2020,347,5,1.5,Higher,4801,609.00,6,0.99%,Higher
Raynham,08/12/2020,246,<5,<5,Lower,3124,402.00,4,1.00%,Lower
