City/Town,Report Date,Total Case Count,Case Count (Last 14 Days),% Change,Total Tested,Total Tested (Last 14 days),Total Positive Tests (Last 14 days),Percent Positivity (Last 14 Days)
Dedham,07/29/2020,418,<5,Decrease,5860,681,8,1.17%
Deerfield,07/29/2020,12,<5,No change,804,164,1,0.61%
Dennis,07/29/2020,97,<5,Increase,2351,282,4,1.42%
Dighton,07/29/2020,68,<5,No change,1124,101,1,0.99%
Douglas,07/29/2020,49,0,No change,1122,146,0,0.00%
Dover,07/29/2020,22,<5,Decrease,736,127,2,1.57%
Dracut,07/29/2020,485,<5,Decrease,7553,909,7,0.77%
Dudley,07/29/2020,97,<5,Decrease,1749,271,1,0.37%
Dunstable,07/29/2020,10,0,No change,397,48,0,0.00%
Duxbury,07/29/2020,118,0,Decrease,2954,312,0,0.00%
East Bridgewater,07/29/2020,186,5,Increase,2403,227,5,2.20%
East Brookfield,07/29/2020,13,0,No change,305,44,0,0.00%
East Longmeadow,07/29/2020,278,<5,Increase,3075,396,4,1.01%
Eastham,07/29/2020,14,<5,No change,708,110,3,2.73%
Easthampton,07/29/2020,96,8,Increase,2803,509,9,1.77%
Easton,07/29/2020,290,8,Decrease,4060,412,12,2.91%
Edgartown,07/29/2020,9,0,No change,1741,308,0,0.00%
Egremont,07/29/2020,7,<5,Increase,139,33,2,6.06%
Erving,07/29/2020,6,0,No change,250,41,0,0.00%
Essex,07/29/2020,24,0,No change,536,75,0,0.00%
Everett,07/29/2020,1843,42,Decrease,13536,1384,54,3.90%
Fairhaven,07/29/2020,246,<5,Decrease,3913,321,3,0.93%
Fall River,07/29/2020,1756,67,Decrease,21987,2367,97,4.10%
Falmouth,07/29/2020,229,22,Increase,7187,1014,24,2.37%
Fitchburg,07/29/2020,814,6,Decrease,9775,828,11,1.33%
Florida,07/29/2020,<5,0,No change,70,19,0,0.00%
Foxborough,07/29/2020,128,6,Decrease,3805,584,6,1.03%
Framingham,07/29/2020,1802,36,Increase,14735,1520,47,3.09%
Franklin,07/29/2020,144,5,Decrease,4337,585,5,0.85%
Freetown,07/29/2020,108,<5,Decrease,1353,127,5,3.94%
Gardner,07/29/2020,199,<5,No change,6528,689,4,0.58%
Georgetown,07/29/2020,62,0,Decrease,1321,195,1,0.51%
Gill,07/29/2020,<5,0,No change,172,36,0,0.00%
Gloucester,07/29/2020,270,10,Increase,4900,740,11,1.49%
Goshen,07/29/2020,5,0,Decrease,59,12,0,0.00%
Gosnold,07/29/2020,5,5,No change,103,103,5,4.85%
Grafton,07/29/2020,99,<5,No change,2673,420,1,0.24%
Granby,07/29/2020,32,0,No change,765,115,0,0.00%
Granville,07/29/2020,12,0,No change,233,27,0,0.00%
Great Barrington,07/29/2020,73,0,No change,1984,347,0,0.00%
Greenfield,07/29/2020,210,<5,Increase,3682,509,2,0.39%
Groton,07/29/2020,44,<5,Increase,1726,247,1,0.40%
Groveland,07/29/2020,41,0,Decrease,1027,147,1,0.68%
Hadley,07/29/2020,45,<5,No change,1641,248,1,0.40%
Halifax,07/29/2020,59,<5,Decrease,1215,125,1,0.80%
Hamilton,07/29/2020,38,<5,Increase,1147,190,4,2.11%
Hampden,07/29/2020,99,<5,No change,912,101,1,0.99%
Hancock,07/29/2020,<5,0,No change,34,8,0,0.00%
Hanover,07/29/2020,74,0,No change,2036,214,0,0.00%
Hanson,07/29/2020,110,<5,No change,1755,174,1,0.57%
Hardwick,07/29/2020,10,<5,Increase,316,43,1,2.33%
Harvard,07/29/2020,18,0,No change,815,136,0,0.00%
Harwich,07/29/2020,136,5,Decrease,2522,378,8,2.12%
Hatfield,07/29/2020,18,0,Decrease,513,85,0,0.00%
Haverhill,07/29/2020,1275,19,Increase,14504,1637,23,1.41%
Hawley,07/29/2020,0,0,No change,23,5,0,0.00%
Heath,07/29/2020,0,0,No change,48,9,0,0.00%
Hingham,07/29/2020,288,6,Increase,4193,385,8,2.08%
Hinsdale,07/29/2020,5,<5,Increase,347,67,1,1.49%
Holbrook,07/29/2020,203,<5,Decrease,2227,226,4,1.77%
Holden,07/29/2020,127,<5,Decrease,3578,540,6,1.11%
Holland,07/29/2020,9,<5,Increase,283,68,2,2.94%
Holliston,07/29/2020,57,0,Decrease,2074,253,0,0.00%
Holyoke,07/29/2020,980,30,Decrease,11044,1622,38,2.34%
Hopedale,07/29/2020,47,<5,Decrease,1255,223,2,0.90%
Hopkinton,07/29/2020,133,<5,No change,2793,366,1,0.27%
Hubbardston,07/29/2020,7,0,No change,655,92,0,0.00%
Hudson,07/29/2020,196,0,Decrease,3304,472,0,0.00%
Hull,07/29/2020,53,<5,Decrease,1535,181,1,0.55%
Huntington,07/29/2020,14,0,No change,353,64,0,0.00%
Ipswich,07/29/2020,73,<5,Increase,2556,406,3,0.74%
Kingston,07/29/2020,138,0,No change,2641,269,2,0.74%
Lakeville,07/29/2020,63,0,Decrease,1543,175,0,0.00%
Lancaster,07/29/2020,103,<5,No change,1386,197,2,1.02%
Lanesborough,07/29/2020,8,0,No change,387,71,0,0.00%
Lawrence,07/29/2020,3760,79,Decrease,26295,3249,104,3.20%
Lee,07/29/2020,22,<5,No change,958,185,3,1.62%
Leicester,07/29/2020,158,<5,Decrease,1990,215,4,1.86%
Lenox,07/29/2020,16,<5,Increase,1292,198,2,1.01%
Leominster,07/29/2020,718,11,No change,9950,906,14,1.55%
Leverett,07/29/2020,<5,0,No change,287,51,0,0.00%
Lexington,07/29/2020,335,<5,Increase,5140,730,5,0.68%
Leyden,07/29/2020,0,0,No change,19,2,0,0.00%
Lincoln,07/29/2020,41,0,No change,1365,167,0,0.00%
Littleton,07/29/2020,102,0,Decrease,1684,245,0,0.00%
Longmeadow,07/29/2020,235,10,Increase,2887,450,10,2.22%
Lowell,07/29/2020,3022,52,Decrease,31622,3615,71,1.96%
Ludlow,07/29/2020,132,<5,Decrease,3436,496,2,0.40%
Lunenburg,07/29/2020,67,<5,Decrease,1754,213,1,0.47%
Lynn,07/29/2020,3858,129,Increase,28390,3985,175,4.39%
Lynnfield,07/29/2020,100,<5,Increase,2216,318,3,0.94%
Malden,07/29/2020,1302,31,Increase,13864,1623,39,2.40%
Manchester,07/29/2020,21,<5,No change,720,148,1,0.68%
Mansfield,07/29/2020,173,7,Increase,3418,413,9,2.18%
Marblehead,07/29/2020,247,6,No change,4320,686,8,1.17%
Marion,07/29/2020,14,0,No change,1154,197,0,0.00%
Marlborough,07/29/2020,1029,27,Increase,9872,1443,37,2.56%
Marshfield,07/29/2020,175,<5,Decrease,4092,484,7,1.45%
Mashpee,07/29/2020,74,7,Increase,3044,407,8,1.97%
Mattapoisett,07/29/2020,41,<5,Decrease,949,127,2,1.57%
Maynard,07/29/2020,73,<5,Increase,1864,213,2,0.94%
Medfield,07/29/2020,39,0,Decrease,1731,272,0,0.00%
Medford,07/29/2020,1070,14,Decrease,13749,1742,20,1.15%
Medway,07/29/2020,122,<5,No change,1950,223,2,0.90%
Melrose,07/29/2020,281,23,No change,6649,1941,30,1.55%
Mendon,07/29/2020,32,0,Decrease,791,113,2,1.77%
Merrimac,07/29/2020,35,0,No change,1002,130,1,0.77%
Methuen,07/29/2020,1077,24,Increase,11540,1315,31,2.36%
Middleborough,07/29/2020,274,<5,Decrease,4561,513,3,0.58%
Middlefield,07/29/2020,0,0,No change,21,0,0,0.00%
Middleton,07/29/2020,174,5,Increase,1819,216,5,2.31%
Milford,07/29/2020,668,9,Decrease,6733,652,10,1.53%
Millbury,07/29/2020,216,<5,Decrease,2492,281,2,0.71%
Millis,07/29/2020,50,0,No change,1227,169,0,0.00%
Millville,07/29/2020,23,<5,No change,433,55,1,1.82%
Milton,07/29/2020,318,8,Decrease,4915,730,12,1.64%
Monroe,07/29/2020,0,0,No change,11,0,0,0.00%
Monson,07/29/2020,44,0,Decrease,1080,200,0,0.00%
Montague,07/29/2020,29,0,No change,1399,237,0,0.00%
Monterey,07/29/2020,<5,0,No change,117,28,0,0.00%
Montgomery,07/29/2020,<5,0,No change,32,8,0,0.00%
Mount Washington,07/29/2020,0,0,No change,4,1,0,0.00%
Nahant,07/29/2020,44,<5,Increase,708,138,4,2.90%
Nantucket,07/29/2020,30,8,Increase,2367,508,8,1.57%
Natick,07/29/2020,438,10,Decrease,5934,791,13,1.64%
Needham,07/29/2020,352,15,Decrease,5628,821,21,2.56%
New Ashford,07/29/2020,0,0,No change,17,5,0,0.00%
New Bedford,07/29/2020,2223,37,Decrease,22697,2184,49,2.24%
New Braintree,07/29/2020,<5,<5,Decrease,107,18,1,5.56%
New Marlborough,07/29/2020,7,0,No change,125,21,0,0.00%
New Salem,07/29/2020,<5,<5,Increase,143,29,1,3.45%
Newbury,07/29/2020,14,0,No change,1100,188,0,0.00%
Newburyport,07/29/2020,117,9,Decrease,4169,753,12,1.59%
Newton,07/29/2020,801,20,Increase,17857,2641,26,0.98%
Norfolk,07/29/2020,36,8,Increase,2727,249,8,3.21%
North Adams,07/29/2020,50,<5,No change,1649,326,3,0.92%
North Andover,07/29/2020,362,<5,Decrease,6692,847,6,0.71%
North Attleborough,07/29/2020,268,<5,Decrease,3744,386,3,0.78%
North Brookfield,07/29/2020,20,<5,Increase,617,108,2,1.85%
North Reading,07/29/2020,198,<5,Decrease,2569,365,6,1.64%
Northampton,07/29/2020,289,7,Increase,6739,1175,11,0.94%
Northborough,07/29/2020,227,<5,No change,2742,328,3,0.91%
Northbridge,07/29/2020,317,<5,No change,3272,269,3,1.12%
Northfield,07/29/2020,<5,0,No change,381,81,0,0.00%
Norton,07/29/2020,143,<5,Decrease,2747,256,5,1.95%
Norwell,07/29/2020,125,<5,Decrease,1764,201,1,0.50%
Norwood,07/29/2020,590,5,Decrease,6652,642,8,1.25%
Oak Bluffs,07/29/2020,7,<5,No change,1145,194,1,0.52%
Oakham,07/29/2020,9,<5,No change,277,62,2,3.23%
Orange,07/29/2020,44,<5,Decrease,1492,202,1,0.50%
Orleans,07/29/2020,18,<5,Increase,850,111,2,1.80%
Otis,07/29/2020,<5,0,No change,167,35,0,0.00%
Oxford,07/29/2020,84,<5,Increase,2038,282,4,1.42%
Palmer,07/29/2020,56,<5,No change,1751,288,4,1.39%
Paxton,07/29/2020,34,<5,Increase,700,98,1,1.02%
Peabody,07/29/2020,1038,22,No change,12202,1791,32,1.79%
Pelham,07/29/2020,<5,0,No change,162,24,0,0.00%
Pembroke,07/29/2020,98,<5,Increase,2692,333,5,1.50%
Pepperell,07/29/2020,55,<5,No change,1415,207,2,0.97%
Peru,07/29/2020,<5,0,No change,88,17,0,0.00%
Petersham,07/29/2020,7,0,No change,194,13,0,0.00%
Phillipston,07/29/2020,16,0,No change,257,28,0,0.00%
Pittsfield,07/29/2020,199,10,Increase,8410,1534,14,0.91%
Plainfield,07/29/2020,<5,0,No change,86,18,0,0.00%
Plainville,07/29/2020,75,8,Increase,1362,179,9,5.03%
Plymouth,07/29/2020,608,10,Increase,12041,1433,14,0.98%
Plympton,07/29/2020,11,0,No change,424,50,0,0.00%
Princeton,07/29/2020,8,<5,No change,546,92,2,2.17%
Provincetown,07/29/2020,27,<5,No change,1095,192,1,0.52%
Quincy,07/29/2020,1231,51,Decrease,18693,2256,62,2.75%
Randolph,07/29/2020,979,12,Decrease,8534,863,20,2.32%
Raynham,07/29/2020,242,<5,Increase,2709,237,5,2.11%
Reading,07/29/2020,304,<5,Decrease,4783,661,5,0.76%
Rehoboth,07/29/2020,67,<5,No change,1401,161,5,3.11%
Revere,07/29/2020,1927,82,Increase,15066,1647,103,6.25%
Richmond,07/29/2020,5,0,No change,198,50,0,0.00%
Rochester,07/29/2020,39,<5,Decrease,808,91,2,2.20%
Rockland,07/29/2020,290,<5,No change,3322,319,4,1.25%
Rockport,07/29/2020,83,<5,Decrease,1142,140,1,0.71%
Rowe,07/29/2020,0,0,No change,49,12,0,0.00%
Rowley,07/29/2020,65,<5,No change,1165,135,4,2.96%
Royalston,07/29/2020,<5,0,No change,176,28,0,0.00%
Russell,07/29/2020,16,0,Decrease,216,32,2,6.25%
Rutland,07/29/2020,54,0,Decrease,1288,189,0,0.00%
Salem,07/29/2020,663,21,Increase,9627,1318,26,1.97%
Salisbury,07/29/2020,59,0,Decrease,1450,207,0,0.00%
Sandisfield,07/29/2020,5,0,Decrease,296,96,0,0.00%
Sandwich,07/29/2020,100,<5,Decrease,2871,374,4,1.07%
Saugus,07/29/2020,579,16,Increase,6425,792,23,2.90%
Savoy,07/29/2020,<5,0,No change,78,17,0,0.00%
Scituate,07/29/2020,198,<5,Decrease,3032,333,3,0.90%
