City/Town,Report Date,Total Case Count,Case Count (Last 14 Days),% Change,Total Tested,Total Tested (Last 14 days),Total Positive Tests (Last 14 days),Percent Positivity (Last 14 Days)
Williamsburg,07/22/2020,11,0,Decrease,577,113,0,0.00%
Williamstown,07/22/2020,83,0,Decrease,1248,160,0,0.00%
Wilmington,07/22/2020,336,<5,Decrease,3829,521,2,0.38%
Winchendon,07/22/2020,89,0,Decrease,1771,208,0,0.00%
Winchester,07/22/2020,121,<5,Increase,3952,808,3,0.37%
Windsor,07/22/2020,0,0,No change,90,19,0,0.00%
Winthrop,07/22/2020,301,37,Decrease,4094,1036,42,4.05%
Woburn,07/22/2020,655,7,Decrease,7575,962,10,1.04%
Worcester,07/22/2020,5398,88,Decrease,48510,7262,121,1.67%
Worthington,07/22/2020,0,0,No change,143,33,0,0.00%
Wrentham,07/22/2020,201,7,Decrease,2480,290,7,2.41%
Yarmouth,07/22/2020,118,<5,Increase,3907,568,3,0.53%
Unknown,07/22/2020,272,29,*,48352,4990,29,*
State,07/22/2020,107413,2210,Decrease,1369551,180506,3011,1.67%
Abington,07/15/2020,238,<5,No Change,2718.00,258.00,4,1.55%
Acton,07/15/2020,167,6,Increase,3015.00,428.00,6,1.40%
Acushnet,07/15/2020,97,<5,Increase,1409.00,100.00,4,4.00%
Adams,07/15/2020,35,0,No Change,775.00,130.00,0,0.00%
Agawam,07/15/2020,480,24,No Change,5187.00,694.00,29,4.18%
Alford,07/15/2020,<5,0,No Change,28.00,2.00,0,0.00%
Amesbury,07/15/2020,185,5,Increase,2530.00,309.00,6,1.94%
Amherst,07/15/2020,100,<5,Increase,3061.00,482.00,4,0.83%
Andover,07/15/2020,317,<5,Decrease,5544.00,817.00,2,0.24%
Aquinnah,07/15/2020,<5,0,No Change,80.00,27.00,0,0.00%
Arlington,07/15/2020,312,<5,Decrease,6217.00,870.00,4,0.46%
Ashburnham,07/15/2020,33,<5,No Change,799.00,123.00,1,0.81%
Ashby,07/15/2020,15,0,No Change,356.00,46.00,0,0.00%
Ashfield,07/15/2020,<5,<5,Increase,165.00,34.00,2,5.88%
Ashland,07/15/2020,251,<5,No Change,2659.00,273.00,7,2.56%
Athol,07/15/2020,67,<5,Decrease,2013.00,271.00,2,0.74%
Attleboro,07/15/2020,671,5,Decrease,6519.00,626.00,9,1.44%
Auburn,07/15/2020,217,<5,No Change,2612.00,288.00,2,0.69%
Avon,07/15/2020,76,<5,Decrease,785.00,62.00,2,3.23%
Ayer,07/15/2020,142,0,Decrease,3227.00,166.00,1,0.60%
Barnstable,07/15/2020,373,5,Decrease,6539.00,862.00,7,0.81%
Barre,07/15/2020,62,0,No Change,760.00,107.00,0,0.00%
Becket,07/15/2020,16,<5,No Change,190.00,39.00,1,2.56%
Bedford,07/15/2020,259,5,Increase,5863.00,408.00,8,1.96%
Belchertown,07/15/2020,107,<5,No Change,1713.00,260.00,2,0.77%
Bellingham,07/15/2020,138,8,Decrease,2066.00,247.00,8,3.24%
Belmont,07/15/2020,232,<5,Decrease,3551.00,545.00,3,0.55%
Berkley,07/15/2020,71,0,Decrease,983.00,64.00,2,3.13%
Berlin,07/15/2020,20,0,No Change,429.00,47.00,0,0.00%
Bernardston,07/15/2020,7,0,Decrease,241.00,39.00,0,0.00%
Beverly,07/15/2020,620,5,Decrease,6930.00,822.00,11,1.34%
Billerica,07/15/2020,572,21,Decrease,6620.00,794.00,27,3.40%
Blackstone,07/15/2020,55,5,Decrease,1120.00,154.00,5,3.25%
Blandford,07/15/2020,<5,0,No Change,91.00,16.00,0,0.00%
Bolton,07/15/2020,11,0,No Change,575.00,97.00,0,0.00%
Boston,07/15/2020,14316,304,Decrease,141184.00,18043.00,416,2.31%
Bourne,07/15/2020,159,<5,Decrease,3001.00,352.00,4,1.14%
Boxborough,07/15/2020,26,<5,No Change,581.00,70.00,1,1.43%
Boxford,07/15/2020,43,<5,Decrease,989.00,175.00,1,0.57%
Boylston,07/15/2020,21,<5,No Change,586.00,88.00,2,2.27%
Braintree,07/15/2020,816,6,Increase,7152.00,749.00,11,1.47%
Brewster,07/15/2020,107,<5,Decrease,1501.00,280.00,4,1.43%
Bridgewater,07/15/2020,357,0,Decrease,5588.00,347.00,1,0.29%
Brimfield,07/15/2020,7,<5,Increase,357.00,75.00,1,1.33%
Brockton,07/15/2020,4275,35,Decrease,25186.00,1635.00,64,3.91%
Brookfield,07/15/2020,20,<5,Increase,378.00,74.00,1,1.35%
Brookline,07/15/2020,403,11,Decrease,8039.00,1336.00,17,1.27%
Buckland,07/15/2020,8,0,No Change,43.00,4.00,0,0.00%
Burlington,07/15/2020,268,<5,Increase,3762.00,455.00,2,0.44%
Cambridge,07/15/2020,985,13,Decrease,26566.00,3108.00,22,0.71%
Canton,07/15/2020,292,<5,No Change,4392.00,402.00,6,1.49%
Carlisle,07/15/2020,19,<5,No Change,557.00,106.00,2,1.89%
Carver,07/15/2020,61,<5,No Change,1549.00,163.00,3,1.84%
Charlemont,07/15/2020,<5,<5,No Change,150.00,29.00,1,3.45%
Charlton,07/15/2020,86,6,Decrease,2008.00,283.00,9,3.18%
Chatham,07/15/2020,20,<5,Increase,911.00,121.00,2,1.65%
Chelmsford,07/15/2020,341,7,Increase,6531.00,656.00,11,1.68%
Chelsea,07/15/2020,2977,50,Decrease,13627.00,1694.00,80,4.72%
Cheshire,07/15/2020,<5,0,No Change,309.00,49.00,0,0.00%
Chester,07/15/2020,<5,0,No Change,124.00,17.00,0,0.00%
Chesterfield,07/15/2020,<5,<5,No Change,93.00,15.00,1,6.67%
Chicopee,07/15/2020,469,28,Decrease,7541.00,1000.00,29,2.90%
Chilmark,07/15/2020,<5,0,No Change,515.00,184.00,0,0.00%
Clarksburg,07/15/2020,7,0,No Change,119.00,17.00,0,0.00%
Clinton,07/15/2020,257,5,Decrease,2506.00,244.00,6,2.46%
Cohasset,07/15/2020,27,0,Decrease,820.00,109.00,0,0.00%
Colrain,07/15/2020,<5,0,No Change,148.00,27.00,0,0.00%
Concord,07/15/2020,177,6,Increase,4024.00,510.00,7,1.37%
Conway,07/15/2020,<5,0,No Change,220.00,49.00,0,0.00%
Cummington,07/15/2020,<5,0,No Change,113.00,21.00,0,0.00%
Dalton,07/15/2020,16,0,Decrease,789.00,100.00,0,0.00%
Danvers,07/15/2020,741,<5,Decrease,7253.00,874.00,10,1.14%
Dartmouth,07/15/2020,394,6,Increase,5814.00,434.00,10,2.30%
Dedham,07/15/2020,412,7,Increase,5047.00,576.00,10,1.74%
Deerfield,07/15/2020,11,<5,No Change,623.00,117.00,2,1.71%
Dennis,07/15/2020,95,0,No Change,2026.00,272.00,3,1.10%
Dighton,07/15/2020,67,0,No Change,985.00,54.00,0,0.00%
Douglas,07/15/2020,49,<5,No Change,942.00,141.00,2,1.42%
Dover,07/15/2020,18,0,No Change,583.00,108.00,0,0.00%
Dracut,07/15/2020,479,9,Decrease,6473.00,725.00,17,2.34%
Dudley,07/15/2020,95,<5,Decrease,1414.00,265.00,5,1.89%
Dunstable,07/15/2020,10,0,No Change,334.00,44.00,0,0.00%
Duxbury,07/15/2020,117,<5,Decrease,2525.00,308.00,3,0.97%
East Bridgewater,07/15/2020,181,<5,Decrease,2121.00,177.00,1,0.56%
East Brookfield,07/15/2020,13,0,No Change,251.00,53.00,0,0.00%
East Longmeadow,07/15/2020,275,0,Decrease,2577.00,296.00,0,0.00%
Eastham,07/15/2020,10,0,No Change,583.00,90.00,0,0.00%
Easthampton,07/15/2020,87,<5,Decrease,2205.00,375.00,3,0.80%
Easton,07/15/2020,278,<5,Decrease,3552.00,326.00,4,1.23%
Edgartown,07/15/2020,9,<5,Decrease,1361.00,436.00,1,0.23%
Egremont,07/15/2020,5,0,No Change,99.00,15.00,0,0.00%
Erving,07/15/2020,6,0,No Change,202.00,30.00,0,0.00%
Essex,07/15/2020,24,0,No Change,442.00,67.00,0,0.00%
Everett,07/15/2020,1800,36,Increase,11594.00,2416.00,45,1.86%
Fairhaven,07/15/2020,242,<5,Decrease,3302.00,279.00,1,0.36%
Fall River,07/15/2020,1664,52,Decrease,18386.00,1297.00,81,6.25%
Falmouth,07/15/2020,206,<5,Decrease,5955.00,871.00,6,0.69%
Fitchburg,07/15/2020,803,7,Decrease,8617.00,756.00,12,1.59%
